0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,2,2,0,0,0,0,9,16,8.00,53.33,2,0
Hong Kong,1,1,0,0,0,0,12,12,12.00,66.67,4,0
Ireland,3,3,0,0,0,0,9,14,4.67,53.85,7,0
New Zealand,7,7,0,0,1,0,55,145,20.71,82.39,17,1
Papua New Guinea,2,2,0,0,1,0,91,92,46.00,71.32,2,1
Scotland,16,13,0,0,2,0,59,317,24.38,70.29,13,1
United Arab Emirates,12,11,1,1,0,0,107*,294,29.40,80.55,14,1
Zimbabwe,6,6,0,1,0,0,114,169,28.17,77.17,6,0
,,,,,,,,,,,,
