0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,7,6,0,0,0,0,32,140,23.33,77.35,7,0
Australia,1,1,0,0,0,0,9,9,9.00,45.00,1,0
Bangladesh,1,1,0,0,0,0,20,20,20.00,142.86,1,0
Canada,1,1,0,0,0,0,4,4,4.00,33.33,6,0
England,3,3,0,0,0,0,48,72,24.00,98.63,3,1
Hong Kong,5,5,0,0,0,0,44,72,14.40,61.02,6,0
Ireland,8,7,0,0,0,0,33,84,12.00,70.59,9,0
Kenya,1,1,0,0,1,0,55,55,55.00,90.16,1,0
New Zealand,1,1,0,0,0,0,14,14,14.00,77.78,4,0
Oman,2,2,0,0,1,0,59,92,46.00,63.45,0,0
Papua New Guinea,6,6,0,0,1,0,91,111,18.50,57.51,9,2
Sri Lanka,2,2,0,0,1,0,55,62,31.00,76.54,2,0
United Arab Emirates,7,5,1,2,0,0,114,271,67.75,89.44,11,1
West Indies,1,1,0,0,0,0,4,4,4.00,40.00,3,0
Zimbabwe,3,3,0,0,0,0,33,49,16.33,74.24,2,0
Overall (15),49,45,1,2,4,0,114,1059,24.07,74.89,65,4
