0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Cambusdoon New Ground,16.0,2,76,5,0,3/18,15.20,19.20,4.75
Castle Avenue,5.0,0,28,2,0,2/21,14.00,15.00,5.60
Civil Service Cricket Club,9.0,1,42,1,0,1/42,42.00,54.00,4.67
Grange Cricket Club,12.0,0,82,1,0,1/28,82.00,72.00,6.83
Mannofield Park,30.0,0,161,2,0,2/33,80.50,90.00,5.37
Mombasa Sports Ground,6.0,0,54,0,0,,,,9.00
Ruaraka Sports Club Ground,2.0,0,14,0,0,,,,7.00
Willowmoore Park,15.0,0,71,1,0,1/45,71.00,90.00,4.73
Overall (8),95.0,3,528,12,0,3/18,44.00,47.50,5.56
