0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Civil Service Cricket Club,4,4,0,0,2,1,82,178,44.50,65.93,1,0
Eden Gardens,1,1,0,0,0,0,42,42,42.00,102.44,4,0
Kingsmead,2,2,0,0,1,1,58,58,29.00,55.77,1,0
Lord's,1,1,0,0,0,0,17,17,17.00,85.00,0,0
MA Chidambaram Stadium,1,1,0,0,0,0,13,13,13.00,35.14,1,0
Punjab Cricket Association IS Bindra Stadium,1,1,1,0,0,0,0*,0,,,0,1
Senwes Park,1,1,0,0,0,0,2,2,2.00,50.00,0,0
Shere Bangla National Stadium,1,1,0,0,0,0,5,5,5.00,100.00,2,0
St George's Park,2,2,0,0,0,0,18,33,16.50,71.74,0,0
SuperSport Park,2,2,0,0,1,0,56,72,36.00,84.71,1,0
Vidarbha Cricket Association Stadium,1,1,0,0,0,0,5,5,5.00,100.00,0,0
Overall (11),17,17,1,0,4,2,82,425,26.56,68.88,10,1
