0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,6,6,0,0,0,0,43,106,17.67,49.30,3,0
Bellerive Oval,3,3,0,0,1,0,59,112,37.33,62.57,1,0
Berri Oval,1,1,0,0,0,0,10,10,10.00,33.33,1,0
Brisbane Cricket Ground,3,3,0,0,1,1,88,91,30.33,71.09,1,0
Eastern Oval,1,1,0,0,0,0,7,7,7.00,77.78,0,0
Harrup Park,1,0,0,0,0,0,0,0,,,0,0
Melbourne Cricket Ground,6,6,0,0,0,1,47,101,16.83,49.27,2,0
Sydney Cricket Ground,4,4,0,0,0,0,38,122,30.50,54.46,1,0
WACA Ground,6,6,0,0,0,2,45,124,20.67,63.59,4,0
,,,,,,,,,,,,
