0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,44,44,0,3,3,5,175,1324,30.09,83.80,17,0
Bangladesh,11,11,3,1,4,1,153,506,63.25,101.20,5,0
Canada,1,1,0,0,0,0,8,8,8.00,44.44,0,0
England,23,22,0,2,4,1,118,635,28.86,75.78,8,0
India,30,27,3,2,5,0,116*,1064,44.33,82.87,10,0
Ireland,2,2,0,0,0,0,6,8,4.00,42.11,2,0
Kenya,9,9,1,1,2,0,116,410,51.25,99.76,6,0
Netherlands,1,1,0,0,1,0,72,72,72.00,180.00,0,0
New Zealand,29,29,1,2,6,4,143,1042,37.21,77.30,15,0
Pakistan,25,22,1,2,3,7,114,595,28.33,80.41,12,0
Scotland,1,0,0,0,0,0,0,0,,,0,0
Sri Lanka,27,27,1,1,3,4,108*,621,23.88,74.73,15,0
West Indies,29,29,4,5,2,0,125,1074,42.96,81.86,12,0
Zimbabwe,16,16,2,2,4,0,125,735,52.50,91.88,6,0
Overall (14),248,240,16,21,37,22,175,8094,36.13,83.26,108,0
