0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,145.3,2,853,34,3,5/31,25.09,25.68,5.86
Second,149.5,2,961,25,0,3/36,38.44,35.96,6.41
Overall,295.2,4,1814,59,3,5/31,30.75,30.03,6.14
