0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,1,1,1,0,0,0,3*,3,,30.00,1,0
South Africa,5,5,1,0,2,0,92*,204,51.00,61.45,0,0
Overall (2),6,6,2,0,2,0,92*,207,51.75,60.53,1,0
