0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,120.0,11,470,12,0,3/59,39.17,60.00,3.92
Second,93.4,6,443,11,0,3/44,40.27,51.09,4.73
Overall,213.4,17,913,23,0,3/44,39.70,55.74,4.27
