0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
East Africa,1,1,1,0,1,0,54*,54,,58.06,1,0
England,3,2,0,0,0,0,32,36,18.00,54.55,1,1
New Zealand,1,1,0,0,0,0,24,24,24.00,66.67,1,0
Overall (3),5,4,1,0,1,0,54*,114,38.00,58.46,3,1
