0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Captain Roop Singh Stadium,2.0,0,18,0,0,0/18,,,9.00
Iqbal Stadium,18.0,0,78,1,0,1/26,78.00,108.00,4.33
Newlands,5.0,1,20,0,0,0/20,,,4.00
Rawalpindi Cricket Stadium,10.0,1,49,1,0,1/49,49.00,60.00,4.90
St George's Park,2.0,0,16,0,0,0/16,,,8.00
Overall (5),37.0,2,181,2,0,1/26,90.50,111.00,4.89
