0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Canada,5,5,2,0,0,0,45,122,40.67,78.21,6,3
Kenya,3,3,0,0,1,1,72,84,28.00,51.53,0,0
Netherlands,3,3,0,0,0,0,31,46,15.33,54.76,1,1
,,,,,,,,,,,,
