0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Tony Ireland Stadium,18.0,1,79,3,0,2/33,26.33,36.00,4.39
Overall (1),18.0,1,79,3,0,2/33,26.33,36.00,4.39
