0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,15,15,2,1,3,1,125*,588,45.23,67.98,4,0
Bangladesh,5,4,1,0,1,0,66*,115,38.33,73.25,0,0
England and Wales,1,0,0,0,0,0,0,0,,,0,0
India,6,6,0,0,1,2,67,93,15.50,65.03,3,0
Kenya,4,4,1,0,1,0,65*,113,37.67,55.39,1,0
Morocco,4,4,0,0,2,0,55,138,34.50,60.26,4,0
New Zealand,5,5,1,0,0,0,44*,114,28.50,61.96,0,0
Pakistan,5,5,1,1,2,0,110*,256,64.00,67.72,2,0
Singapore,2,1,0,0,0,0,17,17,17.00,100.00,0,0
South Africa,46,39,4,1,11,0,101,1453,41.51,66.62,16,0
Sri Lanka,3,3,0,0,1,1,53,84,28.00,73.04,2,0
West Indies,10,8,4,1,4,0,123,428,107.00,79.55,3,0
Zimbabwe,1,1,0,0,0,0,22,22,22.00,61.11,1,0
,,,,,,,,,,,,
