0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,39,37,3,0,6,2,77,974,28.65,73.79,38,2
England and Wales,56,54,7,3,11,5,103,1816,38.64,68.07,63,6
India,12,12,1,0,2,1,91,310,28.18,58.05,4,0
Kenya,2,2,1,0,1,0,87*,105,105.00,66.04,0,0
New Zealand,12,11,0,0,1,1,81,290,26.36,70.39,11,2
Pakistan,7,7,0,0,0,1,23,92,13.14,46.00,3,0
South Africa,9,8,1,0,2,1,64,267,38.14,69.90,11,1
Sri Lanka,7,7,1,0,1,0,55,167,27.83,66.01,6,0
United Arab Emirates,8,8,0,1,1,0,116,279,34.88,77.07,4,2
West Indies,15,13,0,0,3,2,74,281,21.62,65.05,11,2
Zimbabwe,3,3,0,0,0,0,41,96,32.00,80.67,8,0
,,,,,,,,,,,,
