Aamer Hameed
Aamer Hanif
Aamer Malik
Aamer Yamin*
Aamir Nazir
Aamir Sohail
Aaqib Javed
Abdul Kadir
Abdul Qadir
Abdul Razzaq
Abdur Rauf
Abdur Rehman
Abid Ali*
Adnan Akmal
Afaq Hussain
Aftab Baloch
Aftab Gul
Agha Saadat Ali
Agha Zahid
Ahmed Shehzad*
Aizaz Cheema
Akhtar Sarfraz
Akram Raza
Ali Hussain Rizvi
Alimuddin
Amir Elahi
Anwar Ali*
Anwar Hussain
Anwar Khan
Arif Butt
Arshad Khan
Arshad Pervez
Asad Ali*
Asad Shafiq*
Ashfaq Ahmed
Ashraf Ali
Asif Ali*
Asif Iqbal
Asif Mahmood
Asif Masood
Asif Mujtaba
Asim Kamal
Ata-Ur-Rehman
Atif Rauf
Atiq-Uz-Zaman
Awais Zia*
Azam Khan
Azeem Hafeez
Azhar Ali*
Azhar Khan
Azhar Mahmood
Azmat Rana
Babar Azam*
Basit Ali
Bazid Khan
Bilal Asif*
Bilawal Bhatti
"Dalpat, A"
"D'Souza, A"
Ehsan Adil
Ehteshamuddin
Faheem Ashraf*
Faisal Athar
Faisal Iqbal
Fakhar Zaman*
Farhan Adil
Farooq Hamid
Farrukh Zaman
Fawad Alam
Fazal Mahmood
Fazl-E-Akbar
"Ghazali, M E Z"
Ghulam Abbas
Ghulam Ali
Haafiz Shahid
Hammad Azam*
Hanif Mohammad
Haris Sohail*
Haroon Rashid
Hasan Ali*
Hasan Jamil
Hasan Raza
Haseeb Ahsan
Humayun Farhat
Hussain Talat*
Iftikhar Ahmed*
Iftikhar Anjum
Ijaz Ahmed
Ijaz Ahmed
Ijaz Butt
Ijaz Faqih
Imad Wasim*
Imam-ul-Haq*
Imran Abbas
Imran Farhat
Imran Khan
Imran Khan*
Imran Khan
Imran Nazir
Imtiaz Ahmed
Intikhab Alam
Inzamam-ul-Haq
"Iqbal Qasim, M"
Iqbal Sikander
Irfan Bhatti
Irfan Fazil
Israr Ali
Jalaluddin
Javed Akhtar
Javed Burki
Javed Miandad
Javed Qadeer
Junaid Khan*
Junaid Zia
Kabir Khan
Kamran Akmal
Kamran Hussain
"Kaneria, D"
"Kardar, A H"
Kashif Raza
Khalid Hasan
Khalid Ibadulla
Khalid Latif*
