"Munro, C*"
"Murray, B A G"
"Murray, D J"
"Nash, D J"
"Neesham, J D S*"
"Nethula, T S*"
"Nevin, C J"
"Newman, J"
"Nicholls, H M*"
"Nicol, R J"
"O'Brien, I E"
"O'Connor, S B"
"Oram, J D P"
"O'Sullivan, D R"
"Overton, G W F"
"Owens, M B"
"Page, M L"
"Papps, M H W"
"Parker, J M"
"Parker, N M"
"Parore, A C"
"Patel, A Y*"
"Patel, D N"
"Patel, J S*"
"Penn, A J"
"Petherick, P J"
"Petrie, E C"
"Petrie, R G"
"Phillips, G D*"
"Playle, W R"
"Pocock, B A"
"Pollard, V"
"Poore, M B"
"Priest, M W"
"Pringle, C"
"Puna, N"
"Rabone, G O"
"Rance, S H A*"
"Raval, J A*"
"Redmond, A J"
"Redmond, R E"
"Reid, J F"
"Reid, J R"
"Reid, R B"
"Richardson, M H"
"Roberts, A D G"
"Roberts, A W"
"Roberts, S J"
"Robertson, G K"
"Ronchi, L*"
"Rowe, C G"
"Rutherford, H D"
"Rutherford, K R"
"Ryder, J D"
"Santner, M J*"
"Scott, R H"
"Scott, V J"
"Seifert, T L*"
"Sewell, D G"
"Shrimpton, M J F"
"Sinclair, B W"
"Sinclair, I M"
"Sinclair, M S"
"Smith, F B"
"Smith, H D"
"Smith, I D S"
"Snedden, C A"
"Snedden, M C"
"Sodhi, I S*"
"Somerville, W E R*"
"Southee, T G*"
"Sparling, J T"
"Spearman, C M"
"Stead, G R"
"Stewart, S L"
"Stirling, D A"
"Stott, L W"
"Styris, S B"
"Su'A, M L"
"Sulzberger, G P"
"Sutcliffe, B"
"Tait, A R"
"Taylor, B R"
"Taylor, D D"
"Taylor, L R P L*"
"Thompson, E P"
"Thomson, K"
"Thomson, S A"
"Tickner, B M*"
"Tindill, E W T"
"Troup, G B"
"Truscott, P B"
"Tuffey, D R"
"Turner, G M"
"Twose, R G"
"van Wyk, C F"
"Vance, R H"
"Vaughan, J T C"
"Vettori, D L"
"Vincent, L"
"Vivian, G E"
"Vivian, H G"
"Wadsworth, K J"
"Wagner, N*"
"Walker, B G K"
"Walker, M D J"
"Wallace, W M"
"Walmsley, K P"
"Ward, J T"
"Watling, B J*"
"Watson, W"
"Watt, L"
"Webb, M G"
"Webb, P N"
"Webb, R J"
"Weir, G L"
"Wheeler, B M*"
"White, D J"
"Whitelaw, P E"
"Williamson, K S*"
"Wilson, J W"
"Wiseman, P J"
"Wisneski, W A"
"Woodcock, L J*"
"Worker, G H*"
"Wright, J G"
"Young, B A"
"Young, R A"
"Yuile, B W"
