Sarandeep Singh
"Sardesai, D N"
"Sarwate, C T"
"Saxena, R C"
"Sehwag, V"
"Sekar, T A P"
"Sen, P"
"Sengupta, A K"
"Shankar, V*"
"Sharma, A K"
"Sharma, C"
"Sharma, G"
"Sharma, I*"
"Sharma, K V"
"Sharma, M M*"
"Sharma, P H"
"Sharma, R*"
"Sharma, R G*"
"Sharma, S K"
"Shastri, R J"
"Shaw, P P*"
"Shinde, S G"
"Shodhan, R H"
Shubman Gill*
"Shukla, L R"
"Shukla, R S"
"Siddiqui, I R"
"Sidhu, N S"
"Singh, R"
"Singh, R P"
"Singh, R P"
"Singh, R R"
"Singh, V R"
"Sivaramakrishnan, L"
"Sodhi, R S"
"Sohoni, S W"
"Solkar, E D"
"Somasunder, S B"
"Sood, M M"
"Sran, B B*"
"Sreesanth, S"
"Srikkanth, K"
"Srinath, J"
"Srinivasan, T E"
"Sriram, S"
"Subramanya, V"
"Sudhakar Rao, R"
"Sunderam, G R"
"Surendranath, R"
"Surti, R F"
"Swamy, V N"
"Tamhane, N S"
"Tarapore, K K"
"Tendulkar, S R"
"Thakur, S N*"
"Tiwary, M K*"
"Tiwary, S S*"
"Tyagi, S*"
"Umrigar, P R"
"Unadkat, J D"
"Uthappa, R V*"
"Vaidya, P S"
"Vengsarkar, D B"
"Venkataraghavan, S"
"Venkataramana, M"
"Venugopal Rao, Y"
"Vihari, G H*"
"Vijay, M*"
"Vinay Kumar, R"
"Viswanath, G R"
"Viswanath, S"
Vizianagram
"Wadekar, A L"
Washington Sundar*
"Wassan, A S"
"Wazir Ali, S"
"Yadav, J*"
"Yadav, J P"
"Yadav, N S"
"Yadav, U T*"
"Yadav, V"
"Yajurvindra Singh, J"
Yashpal Sharma
Yograj Singh
"Yohannan, T"
Yuvraj Singh
