0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,208.0,4,1045,18,0,3/30,58.06,69.33,5.02
Second,185.0,7,829,35,1,4/13,23.69,31.71,4.48
Overall,393.0,11,1874,53,1,4/13,35.36,44.49,4.77
