0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Asgiriya Stadium,1,1,0,0,0,0,4,4,4.00,80.00,1,0
Tyronne Fernando Stadium,1,1,0,0,0,1,0,0,0.00,,0,0
,,,,,,,,,,,,
