0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,22,22,0,0,7,4,77,599,27.23,83.19,19,6
Bangladesh,6,5,0,0,0,1,48,94,18.80,69.12,5,1
England and Wales,12,12,1,0,3,0,68,275,25.00,77.46,11,1
India,16,15,2,0,0,3,44,188,14.46,80.34,6,10
Kenya,5,5,2,1,0,0,100*,189,63.00,98.95,4,1
New Zealand,4,4,0,0,0,0,34,86,21.50,90.53,2,2
Pakistan,8,8,0,0,0,0,35,111,13.88,72.08,5,3
Singapore,4,3,0,0,0,1,24,28,9.33,116.67,4,1
South Africa,12,12,0,0,4,0,83,366,30.50,78.88,8,5
Sri Lanka,45,43,7,1,4,5,102*,865,24.03,71.13,22,27
United Arab Emirates,45,42,2,0,2,9,75,602,15.05,72.10,40,17
West Indies,5,5,0,0,1,0,54,136,27.20,81.44,4,0
Zimbabwe,5,5,0,0,2,1,99,172,34.40,92.97,2,1
,,,,,,,,,,,,
