0,1,2,3,4,5,6,7,8,9,10,11
Innings No,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
First,11,1,0,1,0,63,288,28.80,75.39,4,0
Second,4,0,0,0,0,47,73,18.25,70.19,2,0
Overall,15,1,0,1,0,63,361,25.79,74.28,6,0
