0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,4,3,1,0,0,0,9,18,9.00,52.94,8,2
AMI Stadium,16,14,3,0,0,0,49,375,34.09,69.57,6,2
Arnos Vale Ground,1,1,0,0,0,0,23,23,23.00,79.31,0,0
Arun Jaitley Stadium,2,2,0,0,1,0,51,64,32.00,46.72,0,1
Bangabandhu National Stadium,2,2,0,0,2,0,54,106,53.00,66.67,3,0
Basin Reserve,11,9,2,0,0,1,47,201,28.71,69.31,3,3
Bellerive Oval,2,2,1,0,0,0,21*,27,27.00,62.79,0,0
Brabourne Stadium,1,1,0,0,0,0,14,14,14.00,116.67,0,0
Brisbane Cricket Ground,2,2,1,0,1,0,67,88,88.00,112.82,3,0
Buffalo Park,2,2,0,0,1,0,67,68,34.00,74.73,4,0
Bulawayo Athletic Club,1,1,0,0,0,0,11,11,11.00,110.00,0,2
Captain Roop Singh Stadium,1,1,0,0,0,0,3,3,3.00,30.00,0,0
Carisbrook,4,4,0,0,0,2,8,10,2.50,27.78,3,0
County Ground (Chelmsford),1,0,0,0,0,0,0,0,,,0,0
County Ground (Derby),1,1,0,0,0,1,0,0,0.00,,1,0
County Ground (Southampton),1,1,0,0,0,0,23,23,23.00,56.10,1,0
Diamond Oval,1,1,1,0,0,0,0*,0,,,1,0
Eden Park,20,19,3,0,0,2,42,261,16.31,54.15,11,4
Edgbaston,2,2,0,0,0,0,42,45,22.50,64.29,1,0
Gaddafi Stadium,1,1,0,0,0,0,36,36,36.00,105.88,0,0
Grange Cricket Club,1,0,0,0,0,0,0,0,,,1,0
Gymkhana Club Ground,3,3,2,0,0,0,20*,33,33.00,137.50,2,1
Harare Sports Club,3,3,1,0,0,0,15,32,16.00,74.42,2,0
Headingley,1,0,0,0,0,0,0,0,,,1,0
Iqbal Stadium,2,2,0,0,0,0,27,42,21.00,63.64,0,0
Jinnah Stadium (Gujwranwala),1,1,0,0,0,0,35,35,35.00,57.38,0,0
Jinnah Stadium (Sialkot),1,1,0,0,0,0,37,37,37.00,82.22,0,0
Kallang Ground,2,2,0,0,0,0,9,14,7.00,42.42,0,0
Kingsmead,1,0,0,0,0,0,0,0,,,1,0
Lal Bahadur Shastri Stadium,2,2,0,0,0,0,39,48,24.00,94.12,1,0
M Chinnaswamy Stadium,1,1,0,0,0,0,32,32,32.00,56.14,1,0
MA Chidambaram Stadium,1,1,0,0,0,0,11,11,11.00,84.62,1,0
Madhavrao Scindia Cricket Ground,1,1,0,0,0,0,18,18,18.00,180.00,0,1
Mangaung Oval,1,1,1,0,0,0,31*,31,,64.58,0,0
McLean Park,13,10,1,0,0,3,44,126,14.00,73.68,18,2
Melbourne Cricket Ground,5,5,0,0,0,0,46,57,11.40,46.72,7,0
National Stadium (Karachi),1,1,0,0,0,0,47,47,47.00,68.12,0,0
Nehru Stadium (Guwahati),2,2,0,0,0,0,9,12,6.00,35.29,2,0
Nehru Stadium (Margao),1,1,1,0,0,0,3*,3,,25.00,3,2
Newlands,2,2,0,0,0,0,13,14,7.00,82.35,1,1
Old Trafford,1,1,0,0,0,1,0,0,0.00,,0,0
Owen Delany Park,3,2,1,0,0,0,16*,20,20.00,57.14,0,0
P Sara Oval,1,1,0,0,0,0,17,17,17.00,58.62,0,0
Punjab Cricket Association IS Bindra Stadium,1,1,1,0,0,0,16*,16,,133.33,0,1
Queen's Park Oval,2,2,0,0,0,1,33,33,16.50,71.74,0,0
Queens Sports Club,3,3,0,0,0,0,30,59,19.67,72.84,1,0
R Premadasa Stadium,8,8,2,0,1,1,51*,132,22.00,65.02,5,0
Reliance Stadium,2,2,0,0,2,0,96,151,75.50,78.24,0,0
Sabina Park,1,1,0,0,1,0,61,61,61.00,57.55,0,0
Seddon Park,3,3,1,0,1,1,61*,75,37.50,98.68,3,1
Senwes Park,1,0,0,0,0,0,0,0,,,0,0
Sharjah Cricket Stadium,12,12,2,0,3,2,93,387,38.70,61.62,4,0
Sinhalese Sports Club Ground,4,4,2,0,0,2,28*,37,18.50,60.66,0,1
Sophia Gardens,1,1,1,0,0,0,10*,10,,111.11,0,0
St George's Park,1,1,0,0,1,0,59,59,59.00,68.60,2,0
SuperSport Park,2,2,1,1,0,0,108,125,125.00,105.93,3,0
Sydney Cricket Ground,3,3,0,0,0,2,18,18,6.00,138.46,5,0
Trent Bridge,1,1,1,0,0,0,26*,26,,185.71,2,0
WACA Ground,2,2,1,0,0,0,36*,44,44.00,53.01,0,0
Westpac Stadium,5,2,1,0,0,0,34*,68,68.00,78.16,5,1
Willowmoore Park,1,1,0,0,0,0,11,11,11.00,100.00,0,0
Overall (61),179,161,32,1,14,19,108,3314,25.69,68.09,116,25
