0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,13,13,0,2,1,1,112,448,34.46,73.20,3,0
Bangladesh,1,1,0,0,0,0,16,16,16.00,45.71,0,0
England and Wales,4,4,0,0,0,0,23,60,15.00,65.22,3,0
India,10,10,0,0,2,0,84,297,29.70,73.15,2,0
Ireland,25,25,5,3,3,2,160*,902,45.10,72.10,8,0
Kenya,2,2,0,0,1,0,88,91,45.50,67.41,3,0
Netherlands,2,2,1,0,1,0,96*,118,118.00,89.39,1,0
New Zealand,2,2,0,0,1,0,84,86,43.00,113.16,0,0
United Arab Emirates,6,5,2,1,1,0,116*,224,74.67,74.17,1,0
West Indies,6,6,0,0,2,1,75,177,29.50,66.79,3,0
Zimbabwe,7,7,0,0,3,1,63,203,29.00,62.65,3,0
,,,,,,,,,,,,
