0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,12,12,3,2,4,0,160*,615,68.33,77.36,4,0
Australia,7,7,0,1,0,1,107,188,26.86,71.76,1,0
Bangladesh,2,2,0,0,0,0,46,62,31.00,56.88,0,0
Canada,3,3,0,0,2,0,88,168,56.00,75.68,0,0
England,6,6,1,0,0,0,32,105,21.00,53.03,1,0
India,2,2,0,0,0,0,4,6,3.00,42.86,0,0
Ireland,2,2,0,0,0,0,10,11,5.50,42.31,1,0
Kenya,3,3,0,0,2,0,88,166,55.33,73.78,3,0
Netherlands,3,3,1,0,1,0,96*,146,73.00,88.48,1,0
New Zealand,6,6,0,0,1,1,66,161,26.83,66.80,2,0
Pakistan,8,8,1,1,0,0,116*,207,29.57,64.29,3,0
Papua New Guinea,1,1,0,0,1,0,53,53,53.00,76.81,1,0
Scotland,5,4,1,0,0,0,39,86,28.67,69.92,2,0
South Africa,2,2,0,0,0,1,12,12,6.00,42.86,1,0
Sri Lanka,4,4,0,0,0,1,10,28,7.00,48.28,4,0
United Arab Emirates,3,3,1,1,0,0,116*,163,81.50,78.74,1,0
West Indies,4,4,0,0,3,0,84,256,64.00,84.49,0,0
Zimbabwe,5,5,0,1,1,1,112,189,37.80,71.86,2,0
Overall (18),78,77,8,6,15,5,160*,2622,38.00,72.23,27,0
