0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,354.3,14,2029,71,4,4/25,28.58,29.96,5.72
Second,223.1,11,1192,39,3,6/27,30.56,34.33,5.34
Overall,577.4,25,3221,110,7,6/27,29.28,31.51,5.58
