0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,25.0,3,114,6,1,4/38,19.00,25.00,4.56
Second,10.0,1,32,2,0,1/13,16.00,30.00,3.20
Overall,35.0,4,146,8,1,4/38,18.25,26.25,4.17
