0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Ayub National Stadium,1,1,0,0,0,0,31,31,31.00,83.78,1,0
Edgbaston,1,1,0,0,0,1,0,0,0.00,,0,0
Headingley,1,1,0,0,0,0,7,7,7.00,43.75,0,0
Jawaharlal Nehru Stadium (Delhi),1,1,0,0,0,0,13,13,13.00,65.00,1,2
Keenan Stadium,1,1,0,0,0,0,3,3,3.00,50.00,0,0
Nehru Stadium (Indore),1,1,1,0,0,0,1*,1,,50.00,0,0
Old Trafford,1,1,0,0,0,0,10,10,10.00,58.82,1,0
Sharjah Cricket Stadium,2,2,1,0,2,0,56,107,107.00,75.89,1,2
University Stadium,1,1,0,0,0,0,4,4,4.00,28.57,0,0
Overall (9),10,10,2,0,2,1,56,176,22.00,66.42,4,4
