0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,05/09/1999,West Indies,Kallang Ground,N A M McLean (c D S Mohanty),3.0,1/23,,18.00,7.67,1,23.00
2.0,26/09/1999,South Africa,Gymkhana Club Ground,,2.0,0/7,,30.00,6.00,,30.00
3.0,01/10/1999,Zimbabwe,Gymkhana Club Ground,,1.0,0/8,,36.00,6.33,,38.00
