0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,10.0,0,71,0,0,0/71,,,7.10
Second,17.0,0,82,1,0,1/44,82.00,102.00,4.82
Overall,27.0,0,153,1,0,1/44,153.00,162.00,5.67
