0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,1,1,0,0,0,0,20,20,20.00,95.24,1,0
Bellerive Oval,2,2,0,0,1,0,90,120,60.00,101.69,2,0
Brisbane Cricket Ground,3,3,0,0,0,1,33,39,13.00,79.59,2,0
Etihad Stadium,3,3,0,0,0,0,37,64,21.33,98.46,0,0
Manuka Oval,1,1,0,0,0,0,14,14,14.00,77.78,0,0
Melbourne Cricket Ground,4,4,0,0,0,0,45,94,23.50,75.20,0,0
Sydney Cricket Ground,3,3,0,0,0,0,17,34,11.33,91.89,0,0
WACA Ground,3,3,0,0,0,0,32,65,21.67,101.56,2,0
,,,,,,,,,,,,
