0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
ICC Global Cricket Academy,23.1,2,115,7,1,4/24,16.43,19.86,4.96
Kinrara Academy Oval,10.0,2,24,4,1,4/24,6.00,15.00,2.40
VRA Ground,20.0,0,83,4,0,3/41,20.75,30.00,4.15
Overall (3),53.1,4,222,15,2,4/24,14.80,21.27,4.18
