0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,12,12,1,1,1,0,107,335,30.45,87.47,22,1
Bangladesh,3,3,0,0,0,0,35,44,14.67,75.86,1,0
England and Wales,15,15,1,0,5,0,98,551,39.36,82.36,16,1
India,5,5,0,2,0,0,109,318,63.60,102.91,7,0
New Zealand,12,12,1,0,4,2,80*,362,32.91,85.78,15,1
South Africa,40,40,2,9,8,1,178,2245,59.08,104.52,53,3
Sri Lanka,11,11,0,1,2,0,128,427,38.82,96.83,25,1
United Arab Emirates,3,3,0,1,0,0,112,186,62.00,79.83,3,0
West Indies,6,6,1,0,1,0,71,149,29.80,74.50,5,0
Zimbabwe,8,8,0,0,3,0,84,290,36.25,99.66,11,1
,,,,,,,,,,,,
