0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,1,1,0,0,1,0,68,68,68.00,94.44,0,0
Australia,20,20,1,2,2,0,178,658,34.63,102.17,28,2
Bangladesh,7,7,1,1,1,0,168*,354,59.00,97.25,7,0
England,9,9,1,2,2,0,138*,531,66.38,99.44,10,1
India,13,13,0,5,1,0,135,784,60.31,91.48,18,0
Ireland,2,2,0,0,1,0,82,83,41.50,118.57,3,0
New Zealand,13,13,1,0,4,1,80*,408,34.00,87.37,19,1
Pakistan,13,13,0,1,1,2,112,466,35.85,84.57,17,0
Sri Lanka,24,24,1,3,7,0,128,1119,48.65,103.32,39,3
United Arab Emirates,1,1,0,0,0,0,26,26,26.00,57.78,1,0
West Indies,6,6,1,0,1,0,71,140,28.00,73.68,7,1
Zimbabwe,6,6,0,0,3,0,84,270,45.00,97.47,9,0
Overall (12),115,115,6,14,24,3,178,4907,45.02,95.21,158,8
