0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,1,1,0,0,1,0,60,60,60.00,76.92,0,0
Australia,24,24,1,4,4,3,143,975,42.39,99.69,10,0
Bangladesh,8,8,0,0,2,0,75,317,39.63,88.06,6,0
England,12,12,1,0,1,0,97*,357,32.45,90.38,3,0
Hong Kong,1,1,0,1,0,0,127,127,127.00,105.83,1,0
Ireland,1,1,0,1,0,0,100,100,100.00,117.65,0,0
New Zealand,12,12,1,0,3,0,75*,360,32.73,77.09,5,0
Pakistan,7,7,0,1,2,0,114,380,54.29,102.43,2,0
South Africa,18,17,1,3,4,1,137,798,49.88,96.73,4,0
Sri Lanka,16,16,2,4,5,1,132*,983,70.21,98.30,10,0
United Arab Emirates,1,1,0,0,0,0,14,14,14.00,82.35,1,0
West Indies,27,26,1,2,5,0,119,834,33.36,89.20,15,0
Zimbabwe,5,5,0,1,0,0,116,213,42.60,89.50,5,0
Overall (13),133,131,7,17,27,5,143,5518,44.50,94.02,62,0
