0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,6,6,1,0,0,0,48,150,30.00,103.45,3,0
Bellerive Oval,4,3,0,0,0,0,37,81,27.00,109.46,0,0
Brisbane Cricket Ground,3,3,1,0,2,0,60,140,70.00,116.67,5,0
Manuka Oval,2,2,0,0,0,0,41,45,22.50,195.65,0,0
Melbourne Cricket Ground,9,8,1,0,2,0,96,246,35.14,114.95,5,0
Optus Stadium,2,2,0,0,0,0,34,45,22.50,95.74,1,0
Sydney Cricket Ground,9,7,2,1,1,1,102,222,44.40,170.77,10,0
WACA Ground,9,8,1,0,3,2,95,295,42.14,130.53,2,0
,,,,,,,,,,,,
