0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,4,4,0,0,0,2,19,27,6.75,38.03,2,0
Australia,2,2,0,0,0,0,9,14,7.00,30.43,0,0
Bangladesh,1,1,1,0,0,0,35*,35,,81.40,0,0
Bermuda,6,6,1,0,2,0,71,160,32.00,59.93,4,0
Canada,5,5,2,0,1,1,77*,173,57.67,65.78,1,0
England,3,3,0,0,1,0,54,57,19.00,47.90,1,0
India,2,2,0,0,0,2,0,0,0.00,,1,0
Ireland,6,6,0,0,0,1,39,127,21.17,47.74,4,0
Kenya,7,7,3,0,3,0,64*,248,62.00,62.47,3,0
Namibia,1,1,0,0,0,0,5,5,5.00,71.43,1,0
New Zealand,1,1,1,0,0,0,1*,1,,16.67,2,0
Pakistan,3,3,0,0,0,0,8,21,7.00,63.64,2,0
Scotland,6,5,2,0,1,0,55*,126,42.00,93.33,1,0
South Africa,3,3,0,0,0,0,27,43,14.33,50.00,1,0
Sri Lanka,3,3,0,0,0,1,29,31,10.33,58.49,1,0
United Arab Emirates,1,1,0,0,0,0,3,3,3.00,60.00,1,0
West Indies,2,2,0,0,0,0,10,11,5.50,33.33,0,0
Zimbabwe,1,1,0,0,0,0,15,15,15.00,48.39,1,0
Overall (18),57,56,10,0,8,7,77*,1097,23.85,58.57,26,0
