0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,9,8,3,0,3,0,69*,278,55.60,72.21,3,0
Bellerive Oval,5,4,2,1,0,0,101*,164,82.00,90.61,5,0
Brisbane Cricket Ground,11,9,2,1,0,1,104*,169,24.14,70.42,4,0
Cazaly's Stadium,2,2,2,0,1,0,92*,92,,176.92,2,0
Etihad Stadium,12,11,1,0,3,1,70,326,32.60,78.55,6,0
Marrara Cricket Ground,1,1,0,0,0,0,1,1,1.00,20.00,0,0
Melbourne Cricket Ground,21,19,6,0,3,1,95*,537,41.31,73.87,11,0
Sydney Cricket Ground,24,22,7,0,3,2,79,554,36.93,80.17,4,0
WACA Ground,9,9,3,1,0,1,144*,288,48.00,83.00,5,0
,,,,,,,,,,,,
