0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,2,2,0,0,0,0,41,44,22.00,93.62,3,0
Bellerive Oval,1,1,0,0,0,1,0,0,0.00,,1,0
Brisbane Cricket Ground,2,2,0,0,0,0,4,6,3.00,37.50,3,0
Melbourne Cricket Ground,2,2,0,0,1,0,72,85,42.50,59.44,1,0
Sydney Cricket Ground,3,3,0,0,0,0,40,59,19.67,58.42,0,0
WACA Ground,1,1,0,0,0,0,4,4,4.00,30.77,0,0
,,,,,,,,,,,,
