0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,6,6,2,0,1,0,50*,133,33.25,53.20,2,0
Bellerive Oval,4,4,0,0,1,0,63,140,35.00,82.35,2,0
Brisbane Cricket Ground,7,7,0,1,1,0,109,246,35.14,74.55,4,0
Cazaly's Stadium,2,1,1,0,0,0,46*,46,,79.31,1,0
Etihad Stadium,2,2,0,0,0,0,45,58,29.00,67.44,1,0
Marrara Cricket Ground,1,1,0,0,0,0,42,42,42.00,58.33,0,0
Melbourne Cricket Ground,16,16,1,0,4,0,82,482,32.13,68.66,7,0
Sydney Cricket Ground,16,15,1,1,4,1,126,658,47.00,79.09,8,0
WACA Ground,5,5,0,1,1,1,117,191,38.20,90.52,3,0
,,,,,,,,,,,,
