0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,11,10,0,1,3,0,120,439,43.90,86.42,3,0
Bellerive Oval,7,7,0,0,1,0,85,162,23.14,85.26,3,0
Brisbane Cricket Ground,9,8,0,0,3,1,86,287,35.88,78.63,5,0
Etihad Stadium,1,1,0,0,1,0,50,50,50.00,106.38,0,0
Manuka Oval,1,1,1,0,0,0,36*,36,,102.86,0,0
Melbourne Cricket Ground,9,8,0,0,1,1,50,145,18.13,63.32,4,0
Sydney Cricket Ground,12,12,3,0,3,0,61*,288,32.00,84.96,7,0
WACA Ground,9,9,0,0,1,0,69,217,24.11,74.06,7,0
,,,,,,,,,,,,
