0,1,2,3,4,5,6,7,8,9,10,11,12
Country,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,1,1,0,0,0,0,35,35,35.00,68.63,0,0
England and Wales,3,3,0,0,0,0,26,46,15.33,46.46,0,0
India,7,7,0,0,1,1,55,99,14.14,57.23,0,0
New Zealand,4,4,0,0,0,0,44,110,27.50,60.11,1,0
Pakistan,3,3,0,0,0,0,33,61,20.33,49.59,1,0
United Arab Emirates,5,5,0,0,1,0,83,168,33.60,68.85,4,0
West Indies,3,3,0,0,1,1,55,78,26.00,50.98,0,0
,,,,,,,,,,,,
