0,1,2,3,4,5,6,7,8,9,10,11
Position,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
4,1,0,0,0,0,8,8,8.00,40.00,0,0
7,1,0,0,0,0,5,5,5.00,62.50,1,0
Overall,2,0,0,0,0,8,13,6.50,46.43,1,0
