0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,8.0,0,60,0,0,0/60,,,7.50
Dubai International Cricket Stadium,30.0,0,177,3,0,2/57,59.00,60.00,5.90
Gaddafi Stadium,16.0,0,75,2,0,2/40,37.50,48.00,4.69
Harare Sports Club,25.0,0,107,8,1,6/26,13.38,18.75,4.28
Lord's,9.3,0,62,0,0,0/62,,,6.53
Mahinda Rajapaksha International Cricket Stadium,8.0,0,73,0,0,0/73,,,9.13
Pallekele International Cricket Stadium,10.0,0,51,0,0,0/51,,,5.10
Queens Sports Club,17.0,2,41,1,0,1/10,41.00,102.00,2.41
R Premadasa Stadium,20.0,1,79,5,1,4/29,15.80,24.00,3.95
Rangiri Dambulla International Stadium,10.0,0,46,1,0,1/46,46.00,60.00,4.60
Sharjah Cricket Stadium,20.0,1,116,1,0,1/60,116.00,120.00,5.80
Sheikh Zayed Stadium,29.0,0,155,2,0,1/38,77.50,87.00,5.34
The Rose Bowl,7.0,0,60,1,0,1/60,60.00,42.00,8.57
Trent Bridge,6.0,0,48,0,0,0/48,,,8.00
Overall (14),215.3,4,1150,24,2,6/26,47.92,53.88,5.34
