0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Bangabandhu National Stadium,2,0,0,0,0,0,0,0,,,5,0
Bourda,1,1,0,0,0,0,27,27,27.00,180.00,0,0
Buffalo Park,1,1,1,0,0,0,10*,10,,166.67,3,0
County Ground (Bristol),1,0,0,0,0,0,0,0,,,4,0
Darren Sammy National Cricket Stadium,2,2,0,0,0,0,24,35,17.50,97.22,2,0
Diamond Oval,1,0,0,0,0,0,0,0,,,0,0
Edgbaston,2,2,1,0,0,0,4,4,4.00,50.00,1,0
Harare Sports Club,1,1,0,0,0,0,2,2,2.00,40.00,0,2
Headingley,1,1,0,0,0,0,1,1,1.00,25.00,0,0
Kennington Oval,2,0,0,0,0,0,0,0,,,2,0
Kensington Oval,1,1,1,0,0,0,23*,23,,65.71,1,0
Lord's,3,2,1,0,0,0,30,55,55.00,78.57,9,0
MA Aziz Stadium,1,0,0,0,0,0,0,0,,,3,0
Mangaung Oval,1,0,0,0,0,0,0,0,,,2,0
Newlands,2,2,1,0,0,0,26*,49,49.00,77.78,2,0
Old Trafford,2,2,1,0,0,0,30*,35,35.00,79.55,0,0
Queen's Park Oval,1,0,0,0,0,0,0,0,,,1,0
Queens Sports Club,2,1,0,0,0,1,0,0,0.00,,4,0
Rangiri Dambulla International Stadium,1,1,0,0,0,1,0,0,0.00,,0,0
Sardar Patel Stadium,1,1,0,0,0,0,4,4,4.00,57.14,0,0
Sawai Mansingh Stadium,2,2,0,0,0,1,2,2,1.00,22.22,1,0
Sophia Gardens,1,1,0,0,0,1,0,0,0.00,,0,0
The Rose Bowl,1,1,1,0,0,0,21*,21,,105.00,1,0
Trent Bridge,2,1,0,0,0,0,23,23,23.00,71.88,0,0
Wanderers Stadium,1,1,0,0,0,0,9,9,9.00,28.13,0,0
Overall (25),36,24,7,0,0,4,30*,300,17.65,73.17,41,2
