0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Brisbane Cricket Ground,1,1,0,0,0,0,9,9,9.00,47.37,2,0
Edgbaston,2,2,0,0,0,0,10,17,8.50,50.00,0,0
Hagley Oval,1,1,0,0,0,0,10,10,10.00,55.56,1,0
Kennington Oval,1,1,0,0,1,0,64,64,64.00,88.89,1,0
Lord's,1,1,0,0,0,0,42,42,42.00,60.87,1,0
Mannofield Park,1,1,1,0,0,0,1*,1,,100.00,0,0
Melbourne Cricket Ground,2,2,0,0,1,0,79,89,44.50,81.65,1,0
Old Trafford,1,0,0,0,0,0,0,0,,,0,0
Riverside Ground,1,1,0,0,0,0,5,5,5.00,71.43,0,0
Sydney Cricket Ground,1,1,0,0,0,0,26,26,26.00,61.90,0,0
The Village,1,1,0,0,0,1,0,0,0.00,,1,0
WACA Ground,1,1,0,0,0,0,18,18,18.00,60.00,1,0
Westpac Stadium,2,2,0,0,0,0,10,16,8.00,40.00,0,0
Overall (13),16,15,1,0,2,1,79,297,21.21,67.04,8,0
