0,1,2,3,4,5,6,7,8,9
Innings No,O,M,R,W,4w,Best,Avg,S/R,E/R
First,8.0,1,56,0,0,0/56,,,7.00
Second,9.0,0,57,0,0,0/57,,,6.33
Overall,17.0,1,113,0,0,0/56,,,6.65
