0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Edgbaston,24.0,0,134,4,0,3/63,33.50,36.00,5.58
Headingley,11.0,3,32,0,0,0/32,,,2.91
Overall (2),35.0,3,166,4,0,3/63,41.50,52.50,4.74
