0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Sri Lanka,10.0,1,59,0,0,0/59,,,5.90
Overall (1),10.0,1,59,0,0,0/59,,,5.90
