0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Zimbabwe,3.0,0,16,0,0,,,,5.33
Overall (1),3.0,0,16,0,0,,,,5.33
