0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,2,2,1,0,0,0,28,38,38.00,131.03,2,0
England,1,1,0,0,1,0,55,55,55.00,107.84,2,0
Hong Kong,2,2,0,0,0,0,24,46,23.00,82.14,1,0
Ireland,3,3,0,0,0,1,30,31,10.33,46.97,0,0
Oman,2,2,0,0,0,0,13,19,9.50,67.86,1,0
Papua New Guinea,6,6,1,0,0,2,35,91,18.20,46.67,2,0
Sri Lanka,1,1,0,0,1,0,61,61,61.00,145.24,2,0
United Arab Emirates,3,3,0,0,0,0,47,122,40.67,140.23,2,0
West Indies,1,1,1,0,0,0,32*,32,,61.54,1,0
Zimbabwe,1,1,0,0,0,0,29,29,29.00,39.73,0,0
Overall (10),22,22,3,0,2,3,61,524,27.58,77.17,13,0
