0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Amini Park,2,2,0,0,0,1,22,22,11.00,33.33,1,0
Bulawayo Athletic Club,2,2,1,0,0,0,22,32,32.00,94.12,3,0
Dubai International Cricket Stadium,2,2,1,0,0,0,17*,34,34.00,54.84,0,0
Grange Cricket Club,3,3,0,0,2,0,61,144,48.00,135.85,4,0
Harare Sports Club,2,2,1,0,0,0,32*,33,33.00,56.90,1,0
ICC Global Cricket Academy,4,4,0,0,0,1,47,122,30.50,91.73,1,0
Mannofield Park,4,4,0,0,0,1,35,54,13.50,56.84,2,0
Queens Sports Club,2,2,0,0,0,0,30,59,29.50,67.82,1,0
Sheikh Zayed Stadium,1,1,0,0,0,0,24,24,24.00,63.16,0,0
Overall (9),22,22,3,0,2,3,61,524,27.58,77.17,13,0
