0,1,2,3,4,5,6,7,8,9,10,11
Position,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
9,2,1,0,0,1,5*,5,5.00,41.67,0,0
10,6,1,0,0,1,16*,26,5.20,96.30,0,0
Overall,8,2,0,0,2,16*,31,5.17,79.49,1,0
