0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,10,10,0,0,0,3,48,133,13.30,51.75,3,0
Bangladesh,7,4,1,0,3,0,70,199,66.33,71.84,4,0
India,10,10,1,0,1,3,78,185,20.56,49.33,2,0
Pakistan,9,9,0,1,1,2,117,261,29.00,68.68,2,0
South Africa,3,2,1,0,1,0,73,105,105.00,103.96,1,0
Sri Lanka,11,11,1,1,1,0,118*,326,32.60,61.16,4,0
West Indies,1,1,0,0,0,0,2,2,2.00,18.18,0,0
Zimbabwe,3,3,0,0,1,0,85,93,31.00,61.18,1,0
Overall (8),54,50,4,2,8,8,118*,1304,28.35,62.51,17,0
