0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Cambusdoon New Ground,5.3,0,31,2,0,2/31,15.50,16.50,5.64
Castle Avenue,26.2,2,108,7,1,4/44,15.43,22.57,4.10
Civil Service Cricket Club,5.0,0,33,1,0,1/10,33.00,30.00,6.60
"Cricket, Skating & Curling Club",3.0,0,16,1,0,1/11,16.00,18.00,5.33
Grange Cricket Club,2.0,0,12,0,0,0/12,,,6.00
Gymkhana Club Ground,9.0,0,37,2,0,2/5,18.50,27.00,4.11
Harare Sports Club,3.0,0,17,0,0,,,,5.67
Hazelaarweg,7.0,0,30,2,0,2/30,15.00,21.00,4.29
Jaffrey Sports Club Ground,16.4,0,94,2,0,2/44,47.00,50.00,5.64
M Chinnaswamy Stadium,5.0,0,23,0,0,0/23,,,4.60
Mannofield Park,8.3,0,35,3,0,2/17,11.67,17.00,4.12
Mombasa Sports Ground,6.4,0,39,0,0,0/18,,,5.85
Providence Stadium,14.0,0,61,2,0,2/45,30.50,42.00,4.36
Queen's Park Oval,1.1,0,13,0,0,0/13,,,11.14
Ruaraka Sports Club Ground,7.0,0,38,0,0,0/38,,,5.43
Sabina Park,3.0,1,15,1,0,1/15,15.00,18.00,5.00
The Village,4.0,0,24,0,0,,,,6.00
VRA Ground,14.0,0,48,2,0,2/28,24.00,42.00,3.43
Willowmoore Park,4.0,0,14,0,0,0/14,,,3.50
Overall (19),144.5,3,688,25,1,4/44,27.52,34.76,4.75
