0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Eden Park,3.0,0,24,1,0,1/24,24.00,18.00,8.00
McLean Park,3.0,0,11,0,0,0/11,,,3.67
Overall (2),6.0,0,35,1,0,1/24,35.00,36.00,5.83
