0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Castle Avenue,10.0,1,48,4,1,4/48,12.00,15.00,4.80
Dubai International Cricket Stadium,30.0,0,103,1,0,1/31,103.00,180.00,3.43
Gaddafi Stadium,30.0,3,114,3,0,2/33,38.00,60.00,3.80
Green Park,7.0,0,58,2,0,2/58,29.00,21.00,8.29
Harare Sports Club,17.4,0,59,4,0,2/23,14.75,26.50,3.34
Iqbal Stadium,20.0,2,62,3,0,2/20,20.67,40.00,3.10
Mahinda Rajapaksha International Cricket Stadium,7.0,1,18,0,0,0/18,,,2.57
Multan Cricket Stadium,10.0,0,39,0,0,0/39,,,3.90
National Stadium (Karachi),10.0,0,39,2,0,2/39,19.50,30.00,3.90
Nehru Stadium (Guwahati),10.0,1,54,1,0,1/54,54.00,60.00,5.40
Newlands,2.0,0,27,0,0,0/27,,,13.50
Pallekele International Cricket Stadium,18.0,1,84,1,0,1/60,84.00,108.00,4.67
R Premadasa Stadium,20.0,1,97,2,0,1/34,48.50,60.00,4.85
Rangiri Dambulla International Stadium,10.0,0,37,0,0,0/37,,,3.70
Sharjah Cricket Stadium,9.0,0,41,2,0,2/41,20.50,27.00,4.56
Sheikh Zayed Stadium,40.0,1,172,2,0,1/44,86.00,120.00,4.30
SuperSport Park,9.0,0,40,1,0,1/40,40.00,54.00,4.44
Westpac Stadium,1.0,0,10,0,0,0/10,,,10.00
Zahur Ahmed Chowdhury Stadium,10.0,1,32,2,0,2/32,16.00,30.00,3.20
Overall (19),270.4,12,1134,30,1,4/48,37.80,54.13,4.19
