0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Cambusdoon New Ground,4,3,1,0,2,0,55*,112,56.00,59.89,1,0
Castle Avenue,3,3,0,0,0,1,14,22,7.33,47.83,0,0
Civil Service Cricket Club,2,2,0,0,0,0,19,26,13.00,47.27,0,0
Grange Cricket Club,3,3,0,0,1,0,54,81,27.00,80.20,0,0
Gymkhana Club Ground,3,3,0,0,1,0,58,84,28.00,66.14,0,0
Hazelaarweg,2,2,0,0,1,0,50,96,48.00,50.26,1,0
Jaffrey Sports Club Ground,1,1,0,0,1,0,58,58,58.00,85.29,0,0
Mannofield Park,6,6,0,1,0,3,101,137,22.83,76.11,2,0
Mombasa Sports Ground,4,4,0,0,1,0,59,96,24.00,56.14,2,0
Ruaraka Sports Club Ground,1,1,0,0,1,0,70,70,70.00,66.04,1,0
Shere Bangla National Stadium,1,1,0,0,0,0,29,29,29.00,78.38,0,0
Sportpark Westvliet,1,1,0,0,0,0,8,8,8.00,18.18,0,0
Titwood,1,1,0,0,0,0,6,6,6.00,21.43,0,0
VRA Ground,1,1,0,0,1,0,98,98,98.00,87.50,0,0
Warner Park,2,2,0,0,0,0,24,33,16.50,47.83,0,0
Zahur Ahmed Chowdhury Stadium,1,1,0,0,0,0,18,18,18.00,48.65,0,0
Overall (16),36,35,1,1,9,4,101,974,28.65,62.48,7,0
