0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,13,13,1,0,3,2,76,304,25.33,74.33,4,0
Bangladesh,4,4,1,0,1,1,50*,59,19.67,73.75,0,0
England,2,2,0,0,1,0,55,60,30.00,100.00,0,0
India,3,3,0,0,0,0,9,20,6.67,57.14,2,0
Ireland,1,1,0,0,0,0,16,16,16.00,76.19,0,0
Pakistan,10,10,2,1,4,0,101*,417,52.13,77.22,5,0
South Africa,11,9,0,0,1,0,74,147,16.33,58.57,3,0
Sri Lanka,10,10,2,0,1,0,50,184,23.00,73.90,3,0
United States,1,1,0,0,0,0,11,11,11.00,55.00,0,0
West Indies,9,8,3,0,1,0,75*,229,45.80,72.93,1,0
Zimbabwe,2,1,0,0,0,0,7,7,7.00,63.64,0,0
Overall (11),66,62,9,1,12,3,101*,1454,27.43,73.07,18,0
