0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
AMI Stadium,7,7,0,0,1,0,64,184,26.29,85.19,1,0
Bangabandhu National Stadium,2,2,0,0,0,1,2,2,1.00,40.00,0,0
Basin Reserve,1,1,0,0,0,0,23,23,23.00,54.76,0,0
Brabourne Stadium,2,2,0,0,0,0,4,5,2.50,41.67,0,0
Carisbrook,1,1,0,0,1,0,74,74,74.00,78.72,0,0
County Ground (Bristol),1,1,0,0,1,0,55,55,55.00,107.84,0,0
Eden Park,8,8,1,0,1,0,55,135,19.29,54.44,1,0
Edgbaston,1,1,1,0,0,0,24*,24,,88.89,0,0
Etihad Stadium,1,1,1,0,1,0,50*,50,,96.15,0,0
Gaddafi Stadium,2,2,0,0,1,0,55,69,34.50,76.67,0,0
Harare Sports Club,3,3,0,0,0,0,8,18,6.00,58.06,1,0
Iqbal Stadium,1,1,1,1,0,0,101*,101,,92.66,3,0
Kennington Oval,2,2,0,0,0,1,11,11,5.50,50.00,0,0
Kingsmead,1,0,0,0,0,0,0,0,,,0,0
Lord's,1,1,0,0,0,0,44,44,44.00,86.27,1,0
MA Aziz Stadium,1,1,0,0,0,0,7,7,7.00,33.33,0,0
Mangaung Oval,1,1,0,0,0,0,16,16,16.00,40.00,1,0
McLean Park,6,6,1,0,0,0,35,87,17.40,69.60,2,0
Providence Stadium,1,1,0,0,0,0,16,16,16.00,76.19,0,0
Punjab Cricket Association IS Bindra Stadium,1,1,0,0,0,0,5,5,5.00,38.46,1,0
Queens Sports Club,2,1,0,0,0,0,9,9,9.00,60.00,1,0
Queenstown Events Centre,3,3,1,0,0,0,29,55,27.50,80.88,1,0
Rawalpindi Cricket Stadium,2,2,1,0,1,0,62*,73,73.00,70.87,0,0
Riverside Ground,1,1,0,0,0,0,5,5,5.00,55.56,0,0
Sir Vivian Richards Stadium,2,2,1,0,1,0,50*,65,65.00,84.42,0,0
Sophia Gardens,1,1,1,0,1,0,75*,75,,63.03,0,0
St George's Park,1,1,0,0,0,0,7,7,7.00,38.89,1,0
SuperSport Park,1,1,0,0,0,0,3,3,3.00,23.08,0,0
Sydney Cricket Ground,2,2,0,0,0,1,9,9,4.50,33.33,1,0
The Rose Bowl,1,0,0,0,0,0,0,0,,,0,0
Westpac Stadium,6,5,0,0,3,0,84,227,45.40,83.76,3,0
Overall (31),66,62,9,1,12,3,101*,1454,27.43,73.07,18,0
