0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
England,16.0,1,61,3,0,2/24,20.33,32.00,3.81
Overall (1),16.0,1,61,3,0,2/24,20.33,32.00,3.81
