0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
AMI Stadium,3.0,1,12,1,0,1/12,12.00,24.00,3.00
Edgbaston,6.0,1,12,0,0,0/12,,,2.00
Jinnah Stadium (Sialkot),7.0,0,36,2,0,2/36,18.00,28.00,3.86
Trent Bridge,7.0,0,58,1,0,1/58,58.00,42.00,8.29
Overall (4),23.0,2,118,4,0,2/36,29.50,39.50,4.48
