0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Netherlands,1,1,0,0,0,0,6,6,6.00,40.00,1,0
United Arab Emirates,3,3,0,0,1,0,55,80,26.67,83.33,1,0
Overall (2),4,4,0,0,1,0,55,86,21.50,77.48,2,0
