0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
AMI Stadium,9.0,3,27,1,0,1/27,27.00,54.00,3.00
Arbab Niaz Stadium,9.0,0,44,1,0,1/44,44.00,54.00,4.89
Arun Jaitley Stadium,4.0,0,16,1,0,1/16,16.00,24.00,4.00
Barabati Stadium,8.0,2,16,2,0,2/16,8.00,24.00,2.00
Bourda,18.0,3,80,1,0,1/39,80.00,108.00,4.44
Captain Roop Singh Stadium,8.0,0,49,0,0,0/49,,,6.13
Carisbrook,10.0,1,45,1,0,1/45,45.00,60.00,4.50
Eden Park,10.0,0,42,1,0,1/42,42.00,60.00,4.20
Gaddafi Stadium,9.0,0,43,1,0,1/43,43.00,54.00,4.78
Green Park,3.0,0,24,0,0,0/24,,,8.00
Kensington Oval,6.0,0,52,1,0,1/52,52.00,36.00,8.67
Lal Bahadur Shastri Stadium,8.0,0,39,0,0,0/39,,,4.88
McLean Park,9.0,0,50,0,0,0/50,,,5.56
Melbourne Cricket Ground,8.0,1,30,1,0,1/30,30.00,48.00,3.75
National Stadium (Karachi),8.0,1,41,1,0,1/41,41.00,48.00,5.13
Queen's Park Oval,6.0,0,25,1,0,1/25,25.00,36.00,4.17
Sabina Park,9.0,1,47,0,0,0/47,,,5.22
Sharjah Cricket Stadium,25.0,0,111,4,0,3/38,27.75,37.50,4.44
Vidarbha Cricket Association Ground,6.0,0,24,0,0,0/24,,,4.00
Overall (19),173.0,12,805,17,0,3/38,47.35,61.06,4.65
